序号,任务名称,所属阶段,优先级,状态,任务类型,依赖任务,产出文件,简要说明

--- Wave 1: 基础搭建（5个任务并行） ---

T1,Electron项目骨架搭建,Wave 1-基础,高,待开始,unspecified-high,无,"main.js, preload.js, package.json, src/index.html, src/css/, src/js/","Electron桌面应用骨架：主进程+渲染进程+preload.js桥接，npm start启动，1200x800窗口，中文界面"
T2,DBC666 Schema定义,Wave 1-基础,高,待开始,quick,T1,src/js/schema/dbc666-schema.js,"定义DBC666的JSON结构（SignParaInfo等），工厂函数createEmptyDBC666()，验证函数"
T3,CFG666 Schema + 脚本类型模板,Wave 1-基础,高,待开始,deep,T1,"src/js/schema/cfg666-schema.js, src/js/schema/script-templates.js","定义CFG666结构+13种TempletType+3种脚本类型模板（OBC+DCDC/逆变/自由组合），每种类型预置对应测试项"
T4,TempletValue解析/格式化引擎,Wave 1-基础,高,待开始,deep,T1,src/js/lib/templet-value.js,"核心引擎：解析TempletValue（§/∥/‖分隔符），按TempletType分别处理4字段/5字段/JSON数组格式"
T5,文件读写工具（Node.js fs + BOM）,Wave 1-基础,中,待开始,quick,T1,"src/js/lib/file-io.js, preload.js更新","Node.js fs读写文件（通过IPC桥接），CFG666带BOM导出DBC666不带BOM，dialog选择文件/保存位置"

--- Wave 2: 核心UI（6个任务并行） ---

T6,主界面布局（含脚本类型选择）,Wave 2-核心UI,高,待开始,visual-engineering,"T1, T3","src/index.html, src/css/style.css, src/js/ui/layout.js, src/js/ui/new-script-dialog.js","完整UI：新建脚本对话框（选OBC+DCDC/逆变/自由组合）+ 左侧测试项列表 + 右侧表单区 + 顶部工具栏"
T7,测试项列表管理器（增删排序）,Wave 2-核心UI,高,待开始,unspecified-high,T6,src/js/ui/test-item-manager.js,"测试项增删拖拽排序：选择TempletType添加、拖拽排序、点击选中、右键删除，原生HTML5 Drag and Drop"
T8,OBCDeviceConfig表单,Wave 2-核心UI,高,待开始,unspecified-high,"T4, T6",src/js/forms/obc-device-config.js,"OBC设备配置表单：根据FuncDesc（辅电/HVAC/模拟电池）动态显示不同参数组"
T9,InvertDeviceConfig + DCDCDeviceConfig表单,Wave 2-核心UI,中,待开始,unspecified-high,"T4, T6","src/js/forms/invert-device-config.js, src/js/forms/dcdc-device-config.js","逆变器设备配置表单 + DCDC设备配置表单"
T10,ProductConfig表单（含FuncDesc子类型）,Wave 2-核心UI,高,待开始,deep,"T4, T6",src/js/forms/product-config.js,"产品配置表单：24+参数按FuncDesc子类型分组（唤醒/启机/停机），预留参数折叠"
T11,DelayConfig + PowerMeterAdvancedConfig表单,Wave 2-核心UI,中,待开始,unspecified-high,"T4, T6","src/js/forms/delay-config.js, src/js/forms/power-meter-config.js","延时配置 + 功率分析仪通道设置表单"

--- Wave 3: 高级功能（5个任务并行） ---

T12,PowerResult表单（含自动计算）,Wave 3-高级功能,高,待开始,deep,"T4, T7","src/js/forms/power-result.js, src/js/lib/auto-calc.js","功率结果判定表单：Min/Max自动计算（标称值±绝对值/百分比），可手动覆盖"
T13,GlobalVariable系列表单,Wave 3-高级功能,中,待开始,deep,"T4, T7",src/js/forms/global-variable.js,"4种全局变量表单：Config(JSON数组编辑器)/Read(5字段)/Calculate(RPN)/Result(Min/Max)"
T14,原始TempletValue编辑器,Wave 3-高级功能,低,待开始,unspecified-high,"T4, T7",src/js/forms/raw-editor.js,"未知TempletType的兜底编辑器：原始字符串编辑+格式化预览"
T15,模板加载器,Wave 3-高级功能,高,待开始,deep,"T2, T3, T5, T7",src/js/lib/template-loader.js,"导入已有DBC666/CFG666作为模板，支持追加/替换模式"
T16,文件导出管道,Wave 3-高级功能,高,待开始,deep,"T2, T3, T5, T8-T14",src/js/lib/exporter.js,"完整文件生成+保存到磁盘：校验→生成DBC666(无BOM)+CFG666(有BOM)→dialog选择保存位置→写入"

--- Wave 4: 打磨验证（4个任务） ---

T17,输入校验引擎,Wave 4-打磨,中,待开始,unspecified-high,"T7, T16",src/js/lib/validator.js,"全面输入校验：数值/必填/格式，中文错误提示，实时反馈，导出前校验"
T18,端到端验证,Wave 4-打磨,高,待开始,deep,"T15, T16, T17",无新文件,"用真实文件全面测试：导入→不改→导出→对比一致；从空白创建；记录问题"
T19,UI打磨 + 可用性优化,Wave 4-打磨,中,待开始,visual-engineering,"T16, T17",多个文件,"快捷键、未保存提示、滚动优化、100+测试项性能"
T20,使用说明 + Electron打包分发,Wave 4-打磨,低,待开始,writing,T18,"src/js/ui/help.js, package.json(build配置)","中文使用说明 + electron-builder打包为.exe（portable+nsis），放共享目录"

--- 最终验证（4个任务并行） ---

F1,计划合规审计,最终验证,高,待开始,oracle,所有任务,审计报告,"验证所有Must Have已实现、Must NOT Have不存在"
F2,代码质量审查,最终验证,中,待开始,unspecified-high,所有任务,审查报告,"检查代码质量、Electron安全最佳实践"
F3,实际手动QA,最终验证,高,待开始,unspecified-high,所有任务,QA报告,"Playwright测试所有QA场景、脚本类型选择、round-trip"
F4,范围一致性检查,最终验证,中,待开始,deep,所有任务,一致性报告,"验证每个任务=计划要求"